,Unnamed: 0,0,1,3,4,5,6,7,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,type_OAO/AO,type_OOO,type_ZAO,type_other
9,9,"общество с ограниченной ответственностью ""МорТрансБункер""",97058742,16,51.51,2536179635,384,1,0,0,0,0,0,0,0,0,0,0,8628000,0,27799000,0,719000,0,0,37146000,0,0,0,0,0,0,36092000,0,0,0,0,0,0,1054000,0,0,0,0,37146000,289647000,285540000,0,0,0,0,0,0,115000,1181000,1322000,0,985000,0,0,0,0,2866000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130617,0,1,0,0
10,10,"Общество с ограниченной ответственностью ""Айс""",97061988,16,51.51,2536180729,384,1,0,0,0,0,0,0,0,0,0,0,1000000,0,3524000,0,213000,0,0,4737000,0,0,0,0,0,0,142000,0,0,0,0,0,1120000,3475000,0,0,0,0,4737000,50727000,50546000,0,0,0,0,0,0,0,72000,159000,0,22000,0,0,0,0,73000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130617,0,1,0,0
11,11,"Общество с ограниченной ответственностью ""Пасифик Транзит""",97050654,16,51.51,2540125463,384,1,0,0,0,0,0,0,0,0,0,0,4229000,0,31900000,0,20000,0,0,36149000,0,0,0,0,0,0,1221000,0,0,0,0,0,0,34928000,0,0,0,0,36149000,81043000,81035000,0,0,0,0,0,0,0,900000,32000,0,316000,0,0,0,0,560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130617,0,1,0,0
12,12,"Общество с ограниченной ответственностью ""Триумф""",97053428,16,51.51,2536178367,384,1,0,0,0,0,6120000,0,0,0,0,0,657000,0,3775000,0,112000,0,0,10663000,0,0,0,0,0,0,5592000,2794000,0,0,0,0,1006000,1220000,0,0,51000,0,10663000,44756000,45285000,0,0,0,0,0,0,6000,719000,183000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130617,0,1,0,0
13,13,"Общество с ограниченной ответственностью ""Царицынская Торговая Компания""",97033147,16,51.51,3444172688,384,1,0,0,0,0,0,0,0,0,0,0,51000,0,0,0,0,0,0,51000,0,0,0,0,0,0,51000,0,0,0,0,0,0,0,0,0,0,0,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130719,0,1,0,0
14,14,"Общество с ограниченной ответственностью ""Коммерческая Фирма ""АстраНефтеГрузТранс""",96262992,16,51.51,3017049426,384,1,0,0,0,0,21000,0,0,0,0,0,40874000,0,44859000,0,234000,0,0,85988000,0,0,0,0,0,0,2618000,68825000,0,0,0,0,0,12357000,0,0,2188000,0,85988000,108191000,106926000,0,0,0,0,0,0,0,19000,278000,0,201000,0,0,0,0,805000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130522,0,1,0,0
15,15,"Общество с ограниченной ответственностью ""Волга Ойл""",96635789,16,51.51,5261050220,384,1,0,0,0,0,0,0,0,0,0,0,6149000,0,1087000,0,1000,0,0,7237000,0,0,0,0,0,0,142000,0,0,0,0,0,0,1130000,0,0,5965000,0,7237000,3272000,3259000,0,0,0,0,0,0,0,0,9000,0,1000,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130520,0,1,0,0
16,16,"Общество с ограниченной ответственностью ""Сфера""",97021196,16,51.51,3444137154,384,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,74000,-67000,0,0,0,0,0,-67000,0,0,-67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130719,0,1,0,0
17,17,"Общество с ограниченной ответственностью ""Возрождение""",97018484,16,51.51,3419010316,384,1,0,0,0,0,533000,0,0,0,0,0,0,0,235000,0,0,0,0,768000,0,0,0,0,0,0,504000,0,0,0,0,0,0,264000,0,0,0,0,768000,92000,214000,0,0,0,0,0,0,0,96000,214000,0,0,0,0,0,0,-240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130719,0,1,0,0
18,18,"Общество с ограниченной ответственностью ""Донако-ТрансКарт""",95887460,16,51.51,3666136899,384,1,0,0,0,0,5824000,0,41000,0,0,0,11120000,0,65209000,0,2722000,0,0,84916000,0,0,0,0,0,0,1676000,0,0,0,0,0,0,83240000,0,0,0,0,84916000,8479000,7406000,0,0,0,0,0,0,0,0,0,0,240000,0,0,0,0,833000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130716,0,1,0,0
19,19,"Общество с ограниченной ответственностью ""Региокомплект""",95929997,16,51.51,2722058236,384,1,0,0,0,0,0,0,213000,0,0,0,0,0,24000,0,0,0,0,237000,0,0,0,0,0,0,73000,0,0,0,0,0,1000,163000,0,0,0,0,237000,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20130719,0,1,0,0
